"p0","b","c1","c2"
0,0.39939377254311,2.40330171731879,0.415371715666175
0.005,0.400585694921188,2.40038568930009,0.415877676003849
0.01,0.403549319474443,2.39550597052343,0.416728167545052
0.015,0.407751279051052,2.39100213700591,0.417514376723471
0.02,0.412972621352948,2.38743566718028,0.418136489110739
0.025,0.419040255559885,2.38527400370371,0.418510272048919
0.03,0.425829966238617,2.38458507492325,0.418621879659034
0.035,0.433230063203849,2.38561651596811,0.418426724275714
0.04,0.441236221644828,2.38792470107527,0.418005186648593
0.045,0.449663773869956,2.39216880579411,0.417239561545284
0.05,0.458586648260287,2.39760649018233,0.416265942681229
0.055,0.467818653334929,2.40494487629211,0.414960600009343
0.06,0.477599867389419,2.41261071923571,0.413607408209036
0.065,0.487616590682103,2.42205856691746,0.411951142790179
0.07,0.49796118320629,2.43256882951765,0.41012343249394
0.075,0.508632216594504,2.44396849682944,0.40815845262857
0.08,0.519693681927882,2.45579136439766,0.406139518294118
0.085,0.530921008564198,2.4690097899027,0.403903126870505
0.09,0.542553811114698,2.48228730377968,0.401679950548822
0.095,0.554376165705879,2.49659701012944,0.399308145488152
0.1,0.566526824247584,2.51114415450673,0.396923043360948
0.105,0.578939791595769,2.52616781627506,0.394486621657424
0.11,0.591650708777887,2.54141195925795,0.392041681609423
0.115,0.604590560591987,2.55712451692351,0.389549367458794
0.12,0.617856161098039,2.57282454315699,0.387087180478564
0.125,0.631404498779868,2.58861782559924,0.384637884480462
0.13,0.645191033304618,2.60466926900311,0.382175819886224
0.135,0.659269981202826,2.62071523998625,0.379741879622471
0.14,0.673618915881116,2.63678011483088,0.377331615389826
0.145,0.688210575857856,2.65296877877243,0.374928854831725
0.15,0.703076620729893,2.669084438175,0.372562315714828
0.155,0.718196749012283,2.68532018394315,0.370203919654738
0.16,0.733653790687894,2.70107977177806,0.367937531436835
0.165,0.749338097271129,2.71696533064247,0.365676107164368
0.17,0.765257481518015,2.73290943402852,0.363429078295877
0.175,0.781517354039424,2.74838326601553,0.361268830504095
0.18,0.798000811058511,2.76395754516103,0.359115310068796
0.185,0.814774102900037,2.77928409028578,0.357015194630778
0.19,0.831813646531957,2.79445085284079,0.354955216543243
0.195,0.849150799742104,2.80936531933859,0.352946768633715
0.2,0.866729877146744,2.82423776015806,0.350960862984504
0.205,0.884615985861726,2.83879542305127,0.349032355401298
0.21,0.902778819961193,2.8531446856958,0.347145809864255
0.215,0.921216630037874,2.8673909860112,0.345287405404261
0.22,0.939914547376202,2.8813988012876,0.343472322352348
0.225,0.958928050964414,2.89512349178194,0.341706077726723
0.23,0.978212221694858,2.90866764460924,0.339974223932873
0.235,0.997815989516548,2.92188146333649,0.33829458621232
0.24,1.01768293200189,2.93499506469942,0.336637826358536
0.245,1.03784896003248,2.94784887474367,0.335022534051667
0.25,1.05832702116077,2.96043211080953,0.333449178178825
0.255,1.07908595040867,2.97286266011236,0.331902708691665
0.26,1.10020064500123,2.98486199672076,0.330415298741674
0.265,1.12156757856537,2.99684040456965,0.328937662820846
0.27,1.14325675581714,3.00854203476171,0.327499291618942
0.275,1.16520438239911,3.02015199925848,0.326077648450931
0.28,1.1875955971716,3.03119759989366,0.324727435654815
0.285,1.21024948418589,3.04217860951327,0.323389443287008
0.29,1.23322756321688,3.05291330734469,0.322084011912454
0.295,1.25652025932456,3.06345228076047,0.320804885689442
0.3,1.2801662154391,3.07377985216579,0.319553806969294
0.305,1.30414996787084,3.08381279482137,0.31833854462094
0.31,1.32844202333157,3.09375902369163,0.317136050090552
0.315,1.35317314193099,3.10321715507373,0.315990048123489
0.32,1.3782086642925,3.11259474215281,0.314854836694557
0.325,1.40360621731998,3.12174488768472,0.313746248670989
0.33,1.42937888990648,3.13069655436022,0.31266087622742
0.335,1.45550482982469,3.13938743830117,0.311604322440602
0.34,1.48200755219489,3.14791561259519,0.310566229855862
0.345,1.50892485052809,3.15616156219629,0.309558967097881
0.35,1.5362103683093,3.16420966969653,0.308572572467452
0.355,1.56389891874225,3.17204193656547,0.307608958839191
0.36,1.59198441335113,3.17971385844364,0.306662034663797
0.365,1.6205032973386,3.1870649834362,0.305747790004708
0.37,1.64944181080716,3.19423863600846,0.304851276272337
0.375,1.67879240229051,3.20124628247899,0.303970857320576
0.38,1.70858556943704,3.20802967894406,0.303112270350248
0.385,1.73879289643514,3.21466052905225,0.30226765121268
0.39,1.76950465005382,3.22099017621723,0.301452320112553
0.395,1.80064915135404,3.22715293431749,0.300651748495501
0.4,1.83227788580093,3.23310655220398,0.299870360167575
0.405,1.86437857175163,3.23889574917008,0.299103265351623
0.41,1.89697425793755,3.24444054212323,0.298358069315627
0.415,1.93007912616562,3.24978833222134,0.297629967680796
0.42,1.96368870805313,3.25494495410686,0.296917953144846
0.425,1.99779639783914,3.25994417479874,0.296218437732979
0.43,2.0324763292169,3.26469916002585,0.295540118450277
0.435,2.06768459664771,3.26927921603801,0.294875501119358
0.44,2.10346679373473,3.27364620490453,0.294228443012604
0.445,2.13978597715035,3.27786279795614,0.293592209129579
0.45,2.17669960590556,3.28188804071167,0.292970990416568
0.455,2.21421271802187,3.28569859023192,0.292366637133814
0.46,2.25231820230782,3.28936889361598,0.291771743669268
0.465,2.29106735837132,3.29280774610131,0.291195044600824
0.47,2.33046322902479,3.29604121352023,0.290633744409825
0.475,2.37049240073002,3.29913995690906,0.290080914028628
0.48,2.41119653244528,3.30202928759084,0.289543433577513
